min,d50_mu,d50_mu.1,min_from_start
1.0,49.1423506,49.1423506,6
1.0,48.6587185,48.6587185,12
1.0,52.44664432,52.44664432,18
1.0,55.27638968,55.27638968,24
1.0,51.25286363,51.25286363,30
1.0,49.79885998,49.79885998,36
1.0,51.10618886,51.10618886,42
1.0,49.17445904,49.17445904,48
1.0,54.56591098,54.56591098,54
1.0,50.4023703,50.4023703,60
1.0,55.75704217,55.75704217,66
1.0,54.83259066,54.83259066,72
1.0,52.62849905,52.62849905,78
1.0,56.11125208,56.11125208,84
1.0,53.73449819,53.73449819,90
1.0,61.95338743,61.95338743,96
1.0,65.58463711,65.58463711,102
1.0,55.64652391,55.64652391,108
1.0,58.48480947,58.48480947,114
1.0,58.47729856,58.47729856,120
1.0,57.37805842,57.37805842,126
1.0,59.12373484,59.12373484,132
1.0,59.23820501,59.23820501,138
1.0,58.34952513,58.34952513,144
1.0,65.12546501,65.12546501,150
1.0,60.53945761,60.53945761,156
1.0,58.00287826,58.00287826,162
1.0,65.49712635,65.49712635,168
1.0,60.81938754,60.81938754,174
1.0,66.32150798,66.32150798,180
1.0,57.13803884,57.13803884,186
1.0,66.33408444,66.33408444,192
1.0,65.35672963,65.35672963,198
1.0,62.5311776,62.5311776,204
1.0,64.58065326,64.58065326,210
1.0,67.41708968,67.41708968,216
1.0,66.64112947,66.64112947,222
1.0,65.73577846,65.73577846,228
1.0,64.03613428,64.03613428,234
1.0,71.62051884,71.62051884,240
1.0,66.76904357,66.76904357,246
1.0,71.0907117,71.0907117,252
1.0,66.57552197,66.57552197,258
1.0,74.8195575,74.8195575,264
1.0,66.5643322,66.5643322,270
1.0,68.58474663,68.58474663,276
1.0,72.21834442,72.21834442,282
1.0,74.40660191,74.40660191,288
1.0,70.54838321,70.54838321,294
1.0,70.91933365,70.91933365,300
1.0,71.89336607,71.89336607,306
1.0,72.06371985,72.06371985,312
1.0,75.89654141,75.89654141,318
1.0,77.62497919,77.62497919,324
1.0,73.26939914,73.26939914,330
1.0,80.94775825,80.94775825,336
1.0,77.05463207,77.05463207,342
1.0,75.08707085,75.08707085,348
1.0,80.88449598,80.88449598,354
1.0,79.13234638,79.13234638,360
1.0,82.87323197,82.87323197,366
1.0,82.69218992,82.69218992,372
1.0,79.30341756,79.30341756,378
1.0,86.10219941,86.10219941,384
1.0,84.55505235,84.55505235,390
1.0,82.13973565,82.13973565,396
1.0,79.3738273,79.3738273,402
1.0,77.95495235,77.95495235,408
1.0,89.32113056,89.32113056,414
1.0,86.93552244,86.93552244,420
1.0,80.72252348,80.72252348,426
1.0,82.75996767,82.75996767,432
1.0,85.37045902,85.37045902,438
1.0,86.84581447,86.84581447,444
1.0,80.50301063,80.50301063,450
1.0,82.0995889,82.0995889,456
1.0,89.45997423,89.45997423,462
1.0,79.22618392,79.22618392,468
1.0,85.11822855,85.11822855,474
1.0,81.61917504,81.61917504,480
1.0,83.92065154,83.92065154,486
1.0,87.3170701,87.3170701,492
1.0,84.77964097,84.77964097,498
1.0,87.0377642,87.0377642,504
1.0,82.01309558,82.01309558,510
1.0,81.48620228,81.48620228,516
1.0,87.4061912,87.4061912,522
1.0,84.86082674,84.86082674,528
1.0,82.97361468,82.97361468,534
1.0,82.7680685,82.7680685,540
1.0,79.76319929,79.76319929,546
1.0,80.51687187,80.51687187,552
1.0,81.16138074,81.16138074,558
1.0,72.58514628,72.58514628,564
1.0,78.69096923,78.69096923,570
1.5,77.94333157,77.94333157,576
1.5,83.11551973,83.11551973,582
1.5,86.86304889,86.86304889,588
1.5,65.71349198,65.71349198,594
1.5,76.30546439,76.30546439,600
1.5,77.28826743,77.28826743,601
1.5,77.60167962,77.60167962,602
1.5,78.54031246,78.54031246,603
1.5,74.79818698,74.79818698,604
1.5,63.40794892,63.40794892,605
1.5,66.42017104,66.42017104,606
1.5,73.41646383,73.41646383,607
1.5,73.22763005,73.22763005,608
1.5,63.97680637,63.97680637,609
1.5,64.88038965,64.88038965,610
1.5,66.24776741,66.24776741,611
1.5,71.03866609,71.03866609,612
1.5,63.4315139,63.4315139,613
1.5,60.8387348,60.8387348,614
1.5,63.11120254,63.11120254,615
1.5,65.86830589,65.86830589,616
1.5,54.95250815,54.95250815,617
1.5,60.56194418,60.56194418,618
1.5,63.92143214,63.92143214,619
1.5,59.24017905,59.24017905,620
1.5,56.68162706,56.68162706,621
1.5,60.59925463,60.59925463,622
1.5,63.23026217,63.23026217,623
1.5,64.11477104,64.11477104,624
1.5,67.08093689,67.08093689,625
1.5,53.50546563,53.50546563,626
1.5,55.84480867,55.84480867,627
1.5,58.80801768,58.80801768,628
1.5,57.35523763,57.35523763,629
1.5,68.92219297,68.92219297,630
1.5,55.46572446,55.46572446,631
1.5,66.29329874,66.29329874,632
1.5,61.36318783,61.36318783,633
1.5,55.2052946,55.2052946,634
1.5,57.71719098,57.71719098,635
1.5,56.7473473,56.7473473,636
1.5,56.12793383,56.12793383,637
1.5,56.88910675,56.88910675,638
1.5,66.75750401,66.75750401,639
1.5,67.63943066,67.63943066,640
1.5,60.59607465,60.59607465,641
1.5,57.88659865,57.88659865,642
1.5,53.49814604,53.49814604,643
1.5,62.41720581,62.41720581,644
1.5,58.70353581,58.70353581,645
1.5,57.95125138,57.95125138,646
1.5,60.03092421,60.03092421,647
1.5,51.37953615,51.37953615,648
1.5,59.80134622,59.80134622,649
1.5,60.13340083,60.13340083,650
1.5,62.5426177,62.5426177,651
1.5,56.46758534,56.46758534,652
1.5,60.10042714,60.10042714,653
1.5,58.0771788,58.0771788,654
1.5,56.29741296,56.29741296,655
1.5,63.28877376,63.28877376,656
1.5,57.83191318,57.83191318,657
1.5,59.13742903,59.13742903,658
1.5,56.81827004,56.81827004,659
1.5,53.92743971,53.92743971,660
1.5,59.39056506,59.39056506,661
1.5,55.36021549,55.36021549,662
1.5,55.57263686,55.57263686,663
1.5,55.78952653,55.78952653,664
1.5,57.4772821,57.4772821,665
1.5,65.35934707,65.35934707,666
1.5,51.51821739,51.51821739,667
1.5,52.41811781,52.41811781,668
1.5,54.75896296,54.75896296,669
1.5,52.99194549,52.99194549,670
1.5,60.75361793,60.75361793,671
1.5,51.490945,51.490945,672
1.5,56.36756827,56.36756827,673
1.5,49.71125752,49.71125752,674
1.5,55.78851117,55.78851117,675
1.5,56.47348732,56.47348732,676
1.5,49.71576959,49.71576959,677
1.5,73.32066792,73.32066792,678
1.5,63.07144729,63.07144729,679
1.5,51.97317874,51.97317874,680
1.5,59.66166265,59.66166265,681
1.5,54.89577811,54.89577811,682
1.5,55.86210942,55.86210942,683
1.5,55.12829442,55.12829442,684
1.5,55.62019603,55.62019603,685
1.5,52.03790989,52.03790989,686
1.5,56.01908897,56.01908897,687
1.5,55.90222102,55.90222102,688
1.5,49.93485861,49.93485861,689
1.5,57.01593218,57.01593218,690
1.5,62.90361054,62.90361054,691
1.5,59.50506035,59.50506035,692
1.5,69.65872025,69.65872025,693
1.5,56.19793743,56.19793743,694
1.5,55.88865776,55.88865776,695
1.5,59.20392644,59.20392644,696
1.5,59.61930862,59.61930862,697
1.5,58.69795932,58.69795932,698
1.5,54.33577687,54.33577687,699
1.5,57.21546004,57.21546004,700
1.5,56.84018537,56.84018537,701
1.5,55.42146625,55.42146625,702
1.5,57.53563108,57.53563108,703
1.5,55.30559931,55.30559931,704
1.5,51.10160818,51.10160818,705
1.5,51.46854815,51.46854815,706
1.5,55.36446756,55.36446756,707
1.5,64.65935047,64.65935047,708
1.5,67.12512252,67.12512252,709
1.5,52.23931552,52.23931552,710
1.5,56.12179338,56.12179338,711
1.5,65.25778843,65.25778843,712
1.5,47.27910124,47.27910124,713
1.5,55.5760195,55.5760195,714
1.5,54.13456003,54.13456003,715
1.5,61.36202257,61.36202257,716
1.5,60.72453781,60.72453781,717
1.5,49.90932907,49.90932907,718
1.5,55.92785133,55.92785133,719
1.5,54.43975913,54.43975913,720
1.5,54.69540531,54.69540531,721
1.5,57.50134907,57.50134907,722
1.5,59.72883956,59.72883956,723
1.5,50.71775672,50.71775672,724
1.5,57.7749807,57.7749807,725
1.5,53.91857124,53.91857124,726
1.5,59.37536669,59.37536669,727
1.5,57.22798486,57.22798486,728
1.5,58.99113004,58.99113004,729
1.5,52.74710125,52.74710125,730
1.5,50.99402571,50.99402571,731
1.5,63.99681676,63.99681676,732
1.5,54.46427984,54.46427984,733
1.5,59.73948973,59.73948973,734
1.5,58.04777016,58.04777016,735
1.5,63.44144747,63.44144747,736
1.5,55.69180577,55.69180577,737
1.5,51.94546002,51.94546002,738
1.5,54.14928633,54.14928633,739
1.5,54.09335348,54.09335348,740
1.5,52.49571792,52.49571792,741
1.5,63.48851155,63.48851155,742
1.5,57.17183349,57.17183349,743
1.5,56.8077514,56.8077514,744
1.5,58.93668024,58.93668024,745
1.5,54.3246447,54.3246447,746
1.5,51.21310531,51.21310531,747
1.5,52.91644727,52.91644727,748
1.5,48.4422032,48.4422032,749
1.5,54.41681182,54.41681182,750
1.5,58.9710643,58.9710643,751
1.5,55.13041784,55.13041784,752
1.5,52.82302664,52.82302664,753
1.5,53.14113236,53.14113236,754
1.5,57.78039387,57.78039387,755
1.5,61.54587966,61.54587966,756
1.5,53.30402924,53.30402924,757
1.5,58.7023158,58.7023158,758
1.5,55.8879709,55.8879709,759
1.5,54.57467167,54.57467167,760
1.5,62.26145432,62.26145432,761
1.5,58.49122791,58.49122791,762
1.5,51.81511634,51.81511634,763
1.5,50.8391265,50.8391265,764
1.5,52.94179612,52.94179612,765
1.5,55.29462903,55.29462903,766
1.5,53.16590129,53.16590129,767
1.5,58.26519274,58.26519274,768
1.5,57.35751469,57.35751469,769
1.5,52.23201234,52.23201234,770
1.5,53.63187298,53.63187298,771
1.5,56.07784248,56.07784248,772
1.5,55.28930046,55.28930046,773
1.5,60.59218341,60.59218341,774
1.5,51.82778458,51.82778458,775
1.5,51.64639294,51.64639294,776
1.5,56.06230838,56.06230838,777
1.5,58.66148253,58.66148253,778
1.5,55.85826997,55.85826997,779
1.5,54.25548888,54.25548888,780
1.5,57.78818649,57.78818649,781
1.5,62.84780119,62.84780119,782
1.5,52.01233947,52.01233947,783
1.5,55.84038757,55.84038757,784
1.5,54.43766823,54.43766823,785
1.5,59.79508993,59.79508993,786
1.5,52.46334629,52.46334629,787
2.0,57.09113473,57.09113473,788
2.0,54.27390846,54.27390846,789
2.0,56.85736448,56.85736448,790
2.0,54.88373349,54.88373349,791
2.0,58.61163264,58.61163264,792
2.0,54.39433229,54.39433229,793
2.0,57.33352156,57.33352156,794
2.0,59.04817753,59.04817753,795
2.0,60.70595528,60.70595528,796
2.0,56.24418458,56.24418458,797
2.0,58.31515404,58.31515404,798
2.0,55.5356066,55.5356066,799
2.0,55.34202204,55.34202204,800
2.0,54.85707747,54.85707747,801
2.0,58.40206768,58.40206768,802
2.0,57.21906836,57.21906836,803
2.0,57.05905028,57.05905028,804
2.0,56.824313,56.824313,805
2.0,56.37293761,56.37293761,806
2.0,54.84690548,54.84690548,807
2.0,58.30440419,58.30440419,808
2.0,57.37093647,57.37093647,809
2.0,56.25842456,56.25842456,810
2.0,55.54623571,55.54623571,811
2.0,58.04613738,58.04613738,812
2.0,56.15065214,56.15065214,813
2.0,59.46519699,59.46519699,814
2.0,59.36716889,59.36716889,815
2.0,57.9300869,57.9300869,816
2.0,61.77879732,61.77879732,817
2.0,52.02291315,52.02291315,818
2.0,57.97267642,57.97267642,819
2.0,56.77146897,56.77146897,820
2.0,55.93440258,55.93440258,821
2.0,56.7933785,56.7933785,822
2.0,60.57197919,60.57197919,823
2.0,60.20552179,60.20552179,824
2.0,57.72996481,57.72996481,825
2.0,55.92644142,55.92644142,826
2.0,59.19798129,59.19798129,827
2.0,54.35771235,54.35771235,828
2.0,57.24628097,57.24628097,829
2.0,54.29885378,54.29885378,830
2.0,56.80394531,56.80394531,831
2.0,56.00046991,56.00046991,832
2.0,57.3963326,57.3963326,833
2.0,57.9443266,57.9443266,834
2.0,58.2678409,58.2678409,835
2.0,56.77644572,56.77644572,836
2.0,57.86427958,57.86427958,837
2.0,57.11701172,57.11701172,838
2.0,55.33770365,55.33770365,839
2.0,56.66255993,56.66255993,840
2.0,55.42907299,55.42907299,841
2.0,58.99893747,58.99893747,842
2.0,57.25195396,57.25195396,843
2.0,52.67524998,52.67524998,844
2.0,57.84903495,57.84903495,845
2.0,55.7838219,55.7838219,846
2.0,54.53164425,54.53164425,847
3.0,57.38632288,57.38632288,848
3.0,56.53057887,56.53057887,849
3.0,56.42368681,56.42368681,850
3.0,58.59546651,58.59546651,851
3.0,57.11375054,57.11375054,852
3.0,56.96540792,56.96540792,853
3.0,55.93924322,55.93924322,854
3.0,57.23423917,57.23423917,855
3.0,61.3582793,61.3582793,856
3.0,61.0767415,61.0767415,857
3.0,58.04425619,58.04425619,858
3.0,56.55708522,56.55708522,859
3.0,57.87770739,57.87770739,860
3.0,56.57685176,56.57685176,861
3.0,57.79877121,57.79877121,862
3.0,58.23771554,58.23771554,863
3.0,58.78088567,58.78088567,864
3.0,57.65706936,57.65706936,865
3.0,59.06254936,59.06254936,866
3.0,59.59179033,59.59179033,867
