Exp_num,Date,Season,Sample_Location,Tank,G_eq_Hz,Background_S_ppt,GoM_water_present,S_eq_ppt,Salt_added,d50_eq_um,C_init_NTU,C_end_NTU,C_eq_avg_NTU,C_eq_avg_mgL,C_eq_low_minus_mgL,C_eq_high_plus_mgL,C_int/C_end,Time_at_G_min,DC/Dt_NTU_min,Trust_factor,Notes
Exp01,6/26/20,Summer,South Pass 10,1,95,2.2,1,2.2,None,90.0,9.6,9.6,9.6,-8.180439999999997,0.0,0.0,1.0,60,0.0,0.5,Hard to say there was equilibrium
Exp02,6/27/20,Summer,South Pass 05,1,95,0.0,0,0.0,None,56.0,22.6,22.6,22.6,26.70636000000001,0.0,0.0,1.0,60,0.0,0.5,Equilibrium on breakup 
Exp02,6/27/20,Summer,South Pass 05,1,50,0.0,0,5.0,TS,68.0,22.6,22.6,22.6,26.70636000000001,0.0,0.0,1.0,110,0.0,0.5,Last segment
Exp03,6/28/20,Summer,GoM,1,95,14.6,1,14.6,None,82.0,18.0,18.0,18.0,14.361800000000002,0.0,0.0,1.0,60,0.0,1.0,"Nice data, values from growth match those from breakup"
Exp03,6/28/20,Summer,GoM,1,50,14.6,1,14.6,None,127.0,18.0,18.0,18.0,14.361800000000002,0.0,0.0,1.0,60,0.0,1.0,"Nice data, values from growth match those from breakup"
Exp03,6/28/20,Summer,GoM,1,20,14.6,1,14.6,None,140.0,18.0,4.0,11.0,-4.423399999999994,18.785200000000003,18.785199999999996,0.2222222222222222,60,-0.23333333333333334,1.0,"Nice data, values from growth match those from breakup, settling"
Exp04,6/29/20,Summer,Venice Main Channel,1,95,0.0,0,15.0,TS,46.0,32.0,32.0,32.0,51.93220000000001,0.0,0.0,1.0,60,0.0,0.0,Very inconsistent response to changes in G
Exp05,6/30/20,Summer,Baptiste Collette,1,20,0.0,0,0.0,None,80.0,24.0,16.0,20.0,19.729000000000006,10.7344,10.7344,0.6666666666666666,416,-0.019230769230769232,1.0,"Equilibrium on last segment, settling"
Exp05,6/30/20,Summer,Baptiste Collette,1,95,0.0,0,0.0,None,50.0,37.0,37.0,37.0,65.35020000000002,0.0,0.0,1.0,60,0.0,1.0,Equilibrium on breakup 
Exp06,7/2/20,Summer,Bonnet Carre Spillway,1,50,0.0,0,0.0,None,64.0,26.0,26.0,26.0,35.830600000000004,0.0,0.0,1.0,60,0.0,1.0,"Strong growth at G = 20, larger sizes on breakup cycle than growth (growth not to equilibrium?)"
