min,d16_mu,d50_mu,d84_mu,solidity
1,17.62392977,26.40553426,40.58071585,0.836639556
2,18.67199705,26.15160045,38.60301114,0.8538952
3,19.39313256,27.55752426,37.96379462,0.89518178
4,17.89569569,24.78897366,32.67032133,0.893529291
5,18.42022912,25.66994199,35.51374629,0.888940991
6,18.42444192,26.26291322,40.79944018,0.891039379
7,19.1323085,27.47385574,38.34236375,0.894908257
8,17.96395709,25.84976863,35.62396112,0.893506361
9,19.40443504,26.4050999,40.28491399,0.890236634
10,19.43632054,28.77501848,42.39661607,0.888657722
11,19.29146596,27.98426547,37.11649881,0.88954914
12,18.59672666,27.97599628,42.82606445,0.890289153
13,19.19386643,30.99038109,45.89519594,0.891778832
14,18.00239895,26.22911373,46.02443501,0.88880201
15,18.7859593,26.65118788,36.90261194,0.88645
16,20.2213489,32.62797336,46.67956983,0.890173116
17,19.41976224,28.32064522,45.50683857,0.885726542
18,19.50537146,29.11878395,45.12203949,0.88868374
19,18.88870592,29.1938624,43.4410107,0.887761333
20,19.82495621,31.36583688,51.73644681,0.885140669
21,18.88122751,28.03192282,40.34648486,0.886203958
22,19.17096517,29.89134653,44.12845398,0.888140385
23,20.27864005,32.07397302,48.17605304,0.88929589
24,19.78651372,32.68302894,48.88887683,0.88522597
25,19.51962431,31.49231094,47.86515858,0.887542857
26,20.71317693,34.5963998,58.66285306,0.886883146
27,20.49616078,32.86890542,49.29070509,0.884471914
28,21.66977564,42.49621613,55.62135161,0.881498886
29,19.93846036,31.09549959,51.46324348,0.886409968
30,21.91133297,36.20221354,58.66712892,0.888352615
31,18.43812016,30.09246807,43.87413384,0.886602128
32,19.91250167,32.54924091,53.90371635,0.886026801
33,21.57647298,33.99814548,61.43513666,0.885779878
34,21.20632173,36.61972797,54.64383725,0.888167905
35,19.98858693,34.00710912,51.20630693,0.883031169
36,21.58406235,33.42486851,50.22888894,0.883323565
37,21.44457632,37.78086158,58.48444953,0.884174257
38,20.31977817,32.06574893,50.51314274,0.881376947
39,19.88968074,30.82991355,48.07306795,0.882057317
40,21.83669543,36.72670681,50.11709085,0.885079452
41,20.68187219,34.69438214,59.07528038,0.884609211
42,20.6545248,32.13015684,43.69041918,0.881259752
43,19.98108169,31.99781044,45.1387732,0.884615894
44,20.45396373,31.95908726,52.50757037,0.884415123
45,22.35123589,34.32488121,50.52955671,0.884080864
46,21.64445134,32.85360598,63.25858996,0.885286731
47,19.40200824,30.29578737,46.9209326,0.885725076
48,21.49687232,32.95388866,46.86385839,0.884597627
49,22.05960732,40.59876383,54.44798071,0.882976817
50,20.55448139,33.19770838,46.4311829,0.88201773
51,21.38251915,35.08810793,54.32662292,0.885448675
52,21.37156854,34.91018377,56.0494233,0.889286806
53,22.52052243,37.45203534,71.08454867,0.886134091
54,22.99595861,39.08803469,65.75353409,0.884765693
55,21.13296823,34.11567206,61.52317475,0.887733453
56,22.87374537,36.27165667,59.43606817,0.886807067
57,21.79163367,35.43471333,52.83393077,0.882271192
58,21.08918616,35.08782453,50.19418156,0.883720068
59,21.33473561,32.06016242,47.93005463,0.881497952
60,21.69550617,35.1137382,59.95849481,0.886632353
61,22.22387619,36.63809331,65.45251425,0.878159748
62,20.4683385,32.83989822,45.52131166,0.883587671
63,22.85112031,40.51618051,50.98834856,0.888262418
64,21.6897811,39.78992197,58.14674889,0.879100763
65,21.7897423,37.80026636,69.0998735,0.884099071
66,22.09471215,38.34101548,65.25352589,0.879819937
67,24.10432262,44.19396018,70.47873543,0.881354908
68,21.68554126,33.78596978,55.45119088,0.878784133
69,20.96269325,34.17390291,54.64041318,0.885028417
70,21.1588067,33.25916081,49.5171869,0.882877
71,22.7115167,42.24502891,69.45350654,0.883116667
72,20.31238307,31.9311051,57.88364063,0.883926502
73,22.06908607,33.4452852,48.11073977,0.880833333
74,21.5204796,36.08168923,59.55407626,0.881110954
75,20.67499168,35.57886858,53.31793538,0.884210075
76,21.55107961,35.54749061,56.43723156,0.886031046
77,20.36846282,35.00321793,57.30789945,0.878994371
78,22.19064812,35.12347821,54.44820268,0.882670684
79,23.90644163,39.92256397,63.43375846,0.883877397
80,20.68104253,33.27769552,48.65739812,0.883382246
81,22.19727939,34.73656066,57.2950079,0.880201645
82,22.21012983,37.36037651,60.42970341,0.878183784
83,21.21675654,37.21297665,52.60809367,0.884305455
84,23.87085796,42.49428436,67.62473716,0.877168121
85,22.78275353,35.63398422,51.5716156,0.881773109
86,21.74518411,34.28717191,46.12023564,0.877594052
87,21.52282526,33.76977661,48.66037848,0.876735769
88,23.11418192,36.81975536,57.32028914,0.88230728
89,21.5953028,36.19916985,56.38317605,0.881225769
90,22.8308678,40.63496693,61.11761476,0.884513433
91,20.80018292,31.12060645,45.90246723,0.880459302
92,21.05416965,34.83126714,50.3540103,0.882665965
93,21.57897031,33.14688392,49.15104576,0.878541975
94,21.2986532,33.07662908,55.14010081,0.88101032
95,23.50811268,41.55310018,62.90767569,0.881415649
96,22.7383919,35.88838411,50.75882999,0.882468379
97,22.08239476,36.09106724,61.30009919,0.877647751
98,22.0748048,34.52329509,54.40940208,0.883024696
99,20.69904737,32.63986996,56.25533546,0.878245608
100,20.41626175,36.30871718,52.4729013,0.885556504
101,21.15581051,37.02133128,52.97949061,0.884788851
102,23.14732213,40.0187961,58.66120894,0.87973861
103,22.14216679,38.53674444,61.62229121,0.885050379
104,20.8588103,34.32076687,52.27714381,0.881706024
105,23.48405216,39.41090386,67.33987718,0.881141007
106,22.25342702,37.98688421,51.13012455,0.881950593
107,21.15187348,34.61536612,50.52186061,0.879871984
108,21.3831301,37.87487793,55.11909562,0.88256773
109,20.62342395,33.16167044,55.47351917,0.88236044
110,21.17156728,38.79300731,60.46941784,0.879316854
111,22.29487353,38.15923944,60.65708365,0.880296842
112,22.05117114,34.26969742,52.51864061,0.882505769
113,20.95526025,32.55968206,42.99284642,0.881963934
114,19.45932566,28.92061803,40.61507629,0.880737874
115,21.25310473,34.814643,54.29577747,0.884410507
116,22.15524801,34.75175505,51.22796091,0.877379487
117,21.63747866,37.25750691,55.09414412,0.880373214
118,22.70078629,38.9810907,54.60288958,0.882654671
119,21.04388686,34.77616078,52.69943005,0.880131008
120,21.94143481,38.11557574,54.81273247,0.884351417
121,22.02362196,37.66171063,65.69411226,0.883804979
122,23.70031898,45.08226177,81.56936096,0.879727138
123,23.89009455,42.36160575,104.3739183,0.880891636
124,21.4150717,35.04057285,57.48005464,0.879724615
125,23.27781387,37.99667034,66.99589463,0.879106375
126,23.6963242,41.13026409,59.50563736,0.876268248
127,21.58888037,34.40508856,55.45666627,0.878237109
128,23.1718329,41.62429281,73.08146798,0.879338824
129,21.94424656,35.93929077,54.30472468,0.883481639
130,20.4859634,31.39945951,45.92622105,0.882461069
131,25.25535191,41.72440862,140.059847,0.88367004
132,21.97706781,35.94041994,52.72865869,0.884415
133,23.20620611,41.92790656,56.94418912,0.877928682
134,23.0905392,37.35383153,56.3404164,0.87849879
135,21.55699296,35.72206659,54.70940297,0.877321457
136,23.13487733,35.55424438,56.71807599,0.882462109
137,21.6938253,40.04856262,79.88561495,0.876453441
138,23.32297897,37.09196423,53.09855708,0.882537778
139,21.87693109,34.53276068,50.23570473,0.878773469
140,23.52106891,42.92304884,95.95439483,0.876667331
141,23.31767654,38.29225108,60.47179597,0.878566148
142,22.24503952,33.86692669,54.10343283,0.87936875
143,21.84015605,41.51485141,71.58737349,0.882739344
144,23.04287458,35.49373999,60.20140956,0.880129675
145,22.14509044,34.89514222,61.38844607,0.880714655
146,21.09915483,34.26906615,53.13291801,0.877582677
147,22.95972237,39.08005666,50.20123064,0.87963373
148,21.38354353,34.78422785,63.30807985,0.880997551
149,22.9691794,42.07214906,68.07331772,0.879848669
150,22.61396738,38.55630658,52.61214011,0.880308772
151,22.5091257,38.05705722,62.82432405,0.880828287
152,22.52654061,38.20207105,55.90258835,0.878486667
153,21.33833025,34.51485442,57.5179374,0.877027572
154,22.17216451,36.75499576,55.50056828,0.878662551
155,23.06903609,34.88205444,50.34861785,0.877809562
156,22.76229785,38.7622577,61.86312924,0.880601754
157,21.9368533,34.53670541,56.25602555,0.880761224
158,24.57691118,39.18418096,56.8623324,0.877714134
159,24.04176786,40.05658425,66.45915223,0.88298871
160,23.1832312,35.94013977,50.57152441,0.882157299
161,22.10802629,35.56355882,51.35202115,0.878417842
162,23.83630841,41.35643497,58.58539718,0.8847196
163,22.58873599,36.90909183,60.35218977,0.879983197
164,21.05989808,34.87703038,49.1269327,0.881739918
165,23.83586466,35.47466205,55.21913679,0.876922267
166,22.75999289,34.59947897,53.63888693,0.880656612
167,21.63285295,33.3913185,52.40269184,0.879389919
168,22.37253177,36.64525417,51.01799587,0.874708235
169,20.84515808,33.02574307,50.79938638,0.883016794
170,24.18785538,37.26555806,55.61902748,0.877418375
171,24.09086845,40.69652618,56.58624938,0.879873394
172,22.93150804,38.67882702,57.78653471,0.881246414
173,24.15668439,39.25885502,65.32272001,0.882710435
174,23.74737391,40.28618364,64.9826087,0.880106494
175,23.20007883,37.85306585,56.98736865,0.876474576
176,22.57102365,37.04153827,54.57729969,0.881360837
177,22.26225476,32.6761336,48.94173108,0.879475833
178,22.00890863,34.50119797,55.59632636,0.881969869
179,22.44227648,35.8930165,54.33303642,0.885554217
180,25.41216848,44.09608515,61.32453775,0.8839236
181,23.76614061,43.22254967,65.63869169,0.880341232
182,22.03914445,41.59644408,57.9605083,0.880141975
183,21.15032683,36.20477534,63.65028297,0.88140125
184,23.25958121,40.30323003,65.53660874,0.87876281
185,23.21690912,37.63970596,62.07138395,0.877789147
186,22.18891745,36.25679267,89.364103,0.882789669
187,22.29656849,40.52192124,66.40477337,0.879946371
188,26.70735318,46.04358702,68.49671841,0.884770722
189,21.20963373,36.69177571,45.14545129,0.872404688
190,23.80345123,48.36353756,97.86179628,0.883690873
191,21.12114013,33.91035923,47.95958772,0.875955738
192,23.57693151,41.41066048,64.91012624,0.874377941
